fantasy_team,player_name,real_team,eligible_positions,player_type,dynasty_rank,adp,recommendation,projected_role_if_promoted,projected_slot_if_promoted,candidate_projection_value,drop_candidate_name,drop_candidate_role,drop_candidate_value,rationale
Chris,Connelly Early,BOS,SP/P/PITCHER,pitcher,251,439.0,Keep in minors for now,Bench,,110.3,Matt Shaw,Bench,158.2,Does not currently beat the weakest projected MLB roster player on the fantasy roster.
Chris,Jordan Lawlar,AZ,3B/SS/INFIELDER,hitter,296,134.0,Move to MLB roster as bench player,Bench,,190.9,Matt Shaw,Bench,158.2,Improves the 30-man MLB bucket even though the player would open on the fantasy bench.
Chris,Moises Ballesteros,CHC,DH/C/CATCHER,hitter,293,229.0,Keep in minors for now,Bench,,105.7,Matt Shaw,Bench,158.2,Does not currently beat the weakest projected MLB roster player on the fantasy roster.
Rob,Owen Caissie,MIA,OF/RF/OUTFIELDER,hitter,361,241.0,Keep in minors for now,Bench,,161.8,Anthony Volpe,Bench,227.8,Does not currently beat the weakest projected MLB roster player on the fantasy roster.
Wendell,Luis Morales,ATH,SP/P/PITCHER,pitcher,354,401.0,Keep in minors for now,Bench,,106.6,George Valera,Bench,141.9,Does not currently beat the weakest projected MLB roster player on the fantasy roster.
Wendell,Mick Abel,MIN,SP/P/PITCHER,pitcher,379,260.0,Keep in minors for now,Bench,,107.6,George Valera,Bench,141.9,Does not currently beat the weakest projected MLB roster player on the fantasy roster.
Matt,Roki Sasaki,LAD,SP/P/PITCHER,pitcher,135,109.0,Keep in minors for now,Bench,,121.5,Spencer Steer,Bench,179.6,Does not currently beat the weakest projected MLB roster player on the fantasy roster.
Michael,Carson Benge,NYM,OF/OUTFIELDER,hitter,147,141.5,Keep in minors for now,Bench,,133.9,Brady House,Bench,164.1,Does not currently beat the weakest projected MLB roster player on the fantasy roster.
Michael,Carter Jensen,KC,C/CATCHER,hitter,242,440.0,Keep in minors for now,Bench,,136.0,Brady House,Bench,164.1,Does not currently beat the weakest projected MLB roster player on the fantasy roster.
Michael,J.J. Wetherholt,STL,SS/INFIELDER,hitter,486,259.0,Move to MLB roster as bench player,Bench,,213.9,Brady House,Bench,164.1,Improves the 30-man MLB bucket even though the player would open on the fantasy bench.
