source,mlbam_id,fg_id,player_name,team,dynasty_rank,dynasty_tier,notes
FantraxHQ 2026 dynasty rankings,660271,6602710,Shohei Ohtani,LAD,1,,
FantraxHQ 2026 dynasty rankings,677951,677951,Bobby Witt Jr.,KC,2,,
FantraxHQ 2026 dynasty rankings,660670,660670,Ronald Acuna Jr.,ATL,3,,
FantraxHQ 2026 dynasty rankings,592450,15640,Aaron Judge,NYY,4,,
FantraxHQ 2026 dynasty rankings,669373,669373,Tarik Skubal,DET,5,,
FantraxHQ 2026 dynasty rankings,694973,694973,Paul Skenes,PIT,6,,
FantraxHQ 2026 dynasty rankings,665742,665742,Juan Soto,NYM,7,,
FantraxHQ 2026 dynasty rankings,682998,682998,Corbin Carroll,AZ,8,,
FantraxHQ 2026 dynasty rankings,677594,677594,Julio Rodriguez,SEA,9,,
FantraxHQ 2026 dynasty rankings,682829,682829,Elly De La Cruz,CIN,10,,
FantraxHQ 2026 dynasty rankings,676979,676979,Garrett Crochet,BOS,11,,
FantraxHQ 2026 dynasty rankings,694192,694192,Jackson Chourio,MIL,12,,
FantraxHQ 2026 dynasty rankings,608070,13510,Jose Ramirez,CLE,13,,
FantraxHQ 2026 dynasty rankings,691406,691406,Junior Caminero,TB,14,,
FantraxHQ 2026 dynasty rankings,665487,665487,Fernando Tatis Jr.,SD,15,,
FantraxHQ 2026 dynasty rankings,701762,701762,Nick Kurtz,ATH,16,,
FantraxHQ 2026 dynasty rankings,665489,665489,Vladimir Guerrero Jr.,TOR,17,,
FantraxHQ 2026 dynasty rankings,663656,663656,Kyle Tucker,FA,18,,
FantraxHQ 2026 dynasty rankings,695578,695578,James Wood,WSH,19,,
FantraxHQ 2026 dynasty rankings,683002,683002,Gunnar Henderson,BAL,20,,
FantraxHQ 2026 dynasty rankings,663728,663728,Cal Raleigh,SEA,21,,
FantraxHQ 2026 dynasty rankings,701350,701350,Roman Anthony,BOS,22,,
FantraxHQ 2026 dynasty rankings,596019,12916,Francisco Lindor,NYM,23,,
FantraxHQ 2026 dynasty rankings,686613,686613,Hunter Brown,HOU,24,,
FantraxHQ 2026 dynasty rankings,808967,808967,Yoshinobu Yamamoto,LAD,25,,
FantraxHQ 2026 dynasty rankings,665862,665862,Jazz Chisholm Jr.,NYY,26,,
FantraxHQ 2026 dynasty rankings,669302,669302,Logan Gilbert,SEA,27,,
FantraxHQ 2026 dynasty rankings,694671,694671,Wyatt Langford,TEX,28,,
FantraxHQ 2026 dynasty rankings,656941,16478,Kyle Schwarber,PHI,29,,
FantraxHQ 2026 dynasty rankings,606466,13613,Ketel Marte,AZ,30,,
FantraxHQ 2026 dynasty rankings,670541,670541,Yordan Alvarez,HOU,31,,
FantraxHQ 2026 dynasty rankings,624413,624413,Pete Alonso,BAL,32,,
FantraxHQ 2026 dynasty rankings,687263,687263,Zach Neto,LAA,33,,
FantraxHQ 2026 dynasty rankings,650911,650911,Cristopher Sanchez,PHI,34,,
FantraxHQ 2026 dynasty rankings,691718,691718,Pete Crow-Armstrong,CHC,35,,
FantraxHQ 2026 dynasty rankings,646240,646240,Rafael Devers,SF,36,,
FantraxHQ 2026 dynasty rankings,607208,16252,Trea Turner,PHI,37,,
FantraxHQ 2026 dynasty rankings,682985,682985,Riley Greene,DET,38,,
FantraxHQ 2026 dynasty rankings,621566,14344,Matt Olson,ATL,39,,
