source,mlbam_id,fg_id,player_name,team,adp,overall_rank,format,market_timing_estimate,fantasypros_adp,rotowire_adp,fallback_adp,adp_method,notes
FantasyPros + RotoWire blend,660271,,Shohei Ohtani,LAD,1.1,1,10-team dynasty startup snake,Rounds 1-2,1.0,1.3,2.0,weighted-source-blend,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros + RotoWire blend,677951,,Bobby Witt Jr.,KC,2.6,2,10-team dynasty startup snake,Rounds 1-2,2.0,3.6,1.0,weighted-source-blend,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros + RotoWire blend,665742,,Juan Soto,NYM,3.4,3,10-team dynasty startup snake,Rounds 1-2,3.0,3.9,3.0,weighted-source-blend,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,682998,,Corbin Carroll,AZ,4.0,4,10-team dynasty startup snake,Rounds 1-2,4.0,,14.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,682829,,Elly De La Cruz,CIN,5.0,5,10-team dynasty startup snake,Rounds 1-2,5.0,,5.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,677594,,Julio Rodriguez,SEA,7.5,6,10-team dynasty startup snake,Rounds 1-2,7.5,,6.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros + RotoWire blend,660670,,Ronald Acuna Jr.,ATL,7.7,7,10-team dynasty startup snake,Rounds 1-2,8.0,7.2,7.0,weighted-source-blend,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,691406,,Junior Caminero,TB,8.0,8,10-team dynasty startup snake,Rounds 1-2,8.0,,43.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,694973,,Paul Skenes,PIT,8.5,9,10-team dynasty startup snake,Rounds 1-2,8.5,,13.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,694192,,Jackson Chourio,MIL,8.5,10,10-team dynasty startup snake,Rounds 1-2,8.5,,16.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros + RotoWire blend,592450,,Aaron Judge,NYY,8.9,11,10-team dynasty startup snake,Rounds 1-2,13.5,1.9,10.0,weighted-source-blend,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros + RotoWire blend,669373,,Tarik Skubal,DET,11.0,12,10-team dynasty startup snake,Rounds 1-2,13.5,7.3,12.0,weighted-source-blend,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,701762,,Nick Kurtz,ATH,11.5,13,10-team dynasty startup snake,Rounds 1-2,11.5,,42.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,665487,,Fernando Tatis Jr.,SD,12.0,14,10-team dynasty startup snake,Rounds 1-2,12.0,,17.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros + RotoWire blend,608070,,Jose Ramirez,CLE,13.6,15,10-team dynasty startup snake,Rounds 1-2,19.0,5.4,9.0,weighted-source-blend,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,683002,,Gunnar Henderson,BAL,14.0,16,10-team dynasty startup snake,Rounds 1-2,14.0,,4.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,663656,,Kyle Tucker,LAD,16.5,17,10-team dynasty startup snake,Rounds 1-2,16.5,,8.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,701350,,Roman Anthony,BOS,17.5,18,10-team dynasty startup snake,Rounds 1-2,17.5,,83.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,665489,,Vladimir Guerrero Jr.,TOR,19.0,19,10-team dynasty startup snake,Rounds 1-2,19.0,,15.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,676979,,Garrett Crochet,BOS,20.5,20,10-team dynasty startup snake,Rounds 1-2,20.5,,25.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,695578,,James Wood,WSH,22.5,21,10-team dynasty startup snake,Rounds 1-2,22.5,,21.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,663728,,Cal Raleigh,SEA,22.5,22,10-team dynasty startup snake,Rounds 1-2,22.5,,46.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,691718,,Pete Crow-Armstrong,CHC,23.5,23,10-team dynasty startup snake,Rounds 1-2,23.5,,44.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,694671,,Wyatt Langford,TEX,24.0,24,10-team dynasty startup snake,Rounds 1-2,24.0,,29.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,804606,,Konnor Griffin,PIT,25.5,25,10-team dynasty startup snake,Rounds 3-5,25.5,,225.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,606466,,Ketel Marte,AZ,27.0,26,10-team dynasty startup snake,Rounds 3-5,27.0,,37.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,670541,,Yordan Alvarez,HOU,27.5,27,10-team dynasty startup snake,Rounds 3-5,27.5,,18.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,596019,,Francisco Lindor,NYM,27.5,28,10-team dynasty startup snake,Rounds 3-5,27.5,,20.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,646240,,Rafael Devers,SF,29.0,29,10-team dynasty startup snake,Rounds 3-5,29.0,,23.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,808967,,Yoshinobu Yamamoto,LAD,29.0,30,10-team dynasty startup snake,Rounds 3-5,29.0,,32.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,686613,,Hunter Brown,HOU,29.0,31,10-team dynasty startup snake,Rounds 3-5,29.0,,74.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,682928,,CJ Abrams,WSH,34.0,32,10-team dynasty startup snake,Rounds 3-5,34.0,,26.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,687263,,Zach Neto,LAA,34.0,33,10-team dynasty startup snake,Rounds 3-5,34.0,,47.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,624413,,Pete Alonso,BAL,34.0,34,10-team dynasty startup snake,Rounds 3-5,34.0,,48.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,701538,,Jackson Merrill,SD,35.0,35,10-team dynasty startup snake,Rounds 3-5,35.0,,24.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,665862,,Jazz Chisholm Jr.,NYY,35.0,36,10-team dynasty startup snake,Rounds 3-5,35.0,,45.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,669302,,Logan Gilbert,SEA,36.0,37,10-team dynasty startup snake,Rounds 3-5,36.0,,77.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,650911,,Cristopher Sanchez,PHI,36.5,38,10-team dynasty startup snake,Rounds 3-5,36.5,,69.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,702616,,Jackson Holliday,BAL,41.0,39,10-team dynasty startup snake,Rounds 3-5,41.0,,36.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,693433,,Bryan Woo,SEA,41.0,40,10-team dynasty startup snake,Rounds 3-5,41.0,,70.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,691587,,Eury Perez,MIA,41.0,41,10-team dynasty startup snake,Rounds 3-5,41.0,,149.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,682985,,Riley Greene,DET,41.5,42,10-team dynasty startup snake,Rounds 3-5,41.5,,64.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,656941,,Kyle Schwarber,PHI,42.5,43,10-team dynasty startup snake,Rounds 3-5,42.5,,41.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,547180,,Bryce Harper,PHI,45.0,44,10-team dynasty startup snake,Rounds 3-5,45.0,,27.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,805808,,Kevin McGonigle,DET,45.5,45,10-team dynasty startup snake,Rounds 3-5,45.5,,202.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,668881,,Hunter Greene,CIN,47.5,46,10-team dynasty startup snake,Rounds 3-5,47.5,,480.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,607208,,Trea Turner,PHI,48.0,47,10-team dynasty startup snake,Rounds 3-5,48.0,,31.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,815908,,Jesus Made,MIL,49.0,48,10-team dynasty startup snake,Rounds 3-5,49.0,,1611.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,663586,,Austin Riley,ATL,50.5,49,10-team dynasty startup snake,Rounds 3-5,50.5,,30.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,680776,,Jarren Duran,BOS,51.0,50,10-team dynasty startup snake,Rounds 3-5,51.0,,38.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,592518,,Manny Machado,SD,52.0,51,10-team dynasty startup snake,Rounds 3-5,52.0,,34.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,605141,,Mookie Betts,LAD,53.0,52,10-team dynasty startup snake,Rounds 3-5,53.0,,11.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,543807,,George Springer,TOR,55.0,53,10-team dynasty startup snake,Rounds 3-5,,,55.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,695505,,Chase Burns,CIN,55.5,54,10-team dynasty startup snake,Rounds 3-5,55.5,,227.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,666142,,Cole Ragans,KC,56.5,55,10-team dynasty startup snake,Rounds 3-5,56.5,,82.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,695506,,Jac Caglianone,KC,57.5,56,10-team dynasty startup snake,Rounds 3-5,57.5,,178.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,657277,,Logan Webb,SF,58.0,57,10-team dynasty startup snake,Rounds 3-5,58.0,,72.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,694819,,Jacob Misiorowski,MIL,58.0,58,10-team dynasty startup snake,Rounds 3-5,58.0,,234.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,669923,,George Kirby,SEA,62.0,59,10-team dynasty startup snake,Rounds 3-5,62.0,,89.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,703601,,Max Clark,DET,63.5,60,10-team dynasty startup snake,Rounds 3-5,63.5,,1411.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,675911,,Spencer Strider,ATL,64.0,61,10-team dynasty startup snake,Rounds 6-10,64.0,,252.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,621566,,Matt Olson,ATL,66.0,62,10-team dynasty startup snake,Rounds 6-10,66.0,,33.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,596115,,Trevor Story,BOS,66.0,63,10-team dynasty startup snake,Rounds 6-10,,,66.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,696149,,Bubba Chandler,PIT,66.5,64,10-team dynasty startup snake,Rounds 6-10,66.5,,285.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,815888,,Leo De Vries,ATH,66.5,65,10-team dynasty startup snake,Rounds 6-10,66.5,,1396.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,665161,,Jeremy Pena,HOU,67.0,66,10-team dynasty startup snake,Rounds 6-10,67.0,,81.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,642547,,Freddy Peralta,NYM,68.0,67,10-team dynasty startup snake,Rounds 6-10,68.0,,90.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,657746,,Joe Ryan,MIN,68.5,68,10-team dynasty startup snake,Rounds 6-10,68.5,,92.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,680885,,Spencer Schwellenbach,ATL,69.5,69,10-team dynasty startup snake,Rounds 6-10,69.5,,660.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,667670,,Brent Rooker,ATH,70.5,70,10-team dynasty startup snake,Rounds 6-10,70.5,,49.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,518692,,Freddie Freeman,LAD,70.5,71,10-team dynasty startup snake,Rounds 6-10,70.5,,58.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,805811,,Bryce Eldridge,SF,70.5,72,10-team dynasty startup snake,Rounds 6-10,70.5,,577.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,608331,,Max Fried,NYY,74.5,73,10-team dynasty startup snake,Rounds 6-10,74.5,,111.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,647304,,Josh Naylor,SEA,75.0,74,10-team dynasty startup snake,Rounds 6-10,75.0,,57.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,695243,,Mason Miller,SD,76.0,75,10-team dynasty startup snake,Rounds 6-10,76.0,,39.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,608324,,Alex Bregman,CHC,78.0,76,10-team dynasty startup snake,Rounds 6-10,78.0,,104.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,805779,,Jacob Wilson,ATH,78.0,77,10-team dynasty startup snake,Rounds 6-10,78.0,,133.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,672580,,Maikel Garcia,KC,80.0,78,10-team dynasty startup snake,Rounds 6-10,80.0,,54.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,694212,,Samuel Basallo,BAL,80.5,79,10-team dynasty startup snake,Rounds 6-10,80.5,,375.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,681624,,Andy Pages,LAD,81.0,80,10-team dynasty startup snake,Rounds 6-10,81.0,,76.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,661388,,William Contreras,MIL,82.0,81,10-team dynasty startup snake,Rounds 6-10,82.0,,113.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,683953,,Travis Bazzana,CLE,82.0,82,10-team dynasty startup snake,Rounds 6-10,82.0,,720.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,686469,,Vinnie Pasquantino,KC,83.5,83,10-team dynasty startup snake,Rounds 6-10,83.5,,52.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,672695,,Geraldo Perdomo,AZ,84.5,84,10-team dynasty startup snake,Rounds 6-10,84.5,,80.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,690997,,Nolan McLean,NYM,85.0,85,10-team dynasty startup snake,Rounds 6-10,85.0,,160.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,665833,,Oneil Cruz,PIT,86.0,86,10-team dynasty startup snake,Rounds 6-10,86.0,,19.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,700250,,Ben Rice,NYY,86.0,87,10-team dynasty startup snake,Rounds 6-10,86.0,,105.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,671732,,Lawrence Butler,ATH,87.0,88,10-team dynasty startup snake,Rounds 6-10,87.0,,67.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,608369,,Corey Seager,TEX,88.0,89,10-team dynasty startup snake,Rounds 6-10,88.0,,28.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,669065,,Kyle Stowers,MIA,89.5,90,10-team dynasty startup snake,Rounds 6-10,89.5,,267.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,666182,,Bo Bichette,NYM,90.5,91,10-team dynasty startup snake,Rounds 6-10,90.5,,106.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,673548,,Seiya Suzuki,CHC,93.5,92,10-team dynasty startup snake,Rounds 6-10,93.5,,96.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,669022,,MacKenzie Gore,TEX,95.0,93,10-team dynasty startup snake,Rounds 6-10,95.0,,125.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,805805,,Walker Jenkins,MIN,95.5,94,10-team dynasty startup snake,Rounds 6-10,95.5,,866.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,668930,,Brice Turang,MIL,96.0,95,10-team dynasty startup snake,Rounds 6-10,96.0,,63.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,642207,,Devin Williams,NYM,97.0,96,10-team dynasty startup snake,Rounds 6-10,,,97.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
