source,mlbam_id,fg_id,player_name,team,adp,overall_rank,format,notes
FantasyPros overall ADP,660271,6602710,Shohei Ohtani,LAD,1.0,1,10-team dynasty startup snake,
FantasyPros overall ADP,677951,677951,Bobby Witt Jr.,KC,2.0,2,10-team dynasty startup snake,
FantasyPros overall ADP,665742,665742,Juan Soto,NYM,3.0,3,10-team dynasty startup snake,
FantasyPros overall ADP,682998,682998,Corbin Carroll,AZ,4.0,4,10-team dynasty startup snake,
FantasyPros overall ADP,682829,682829,Elly De La Cruz,CIN,5.0,5,10-team dynasty startup snake,
FantasyPros overall ADP,677594,677594,Julio Rodriguez,SEA,7.5,6,10-team dynasty startup snake,
FantasyPros overall ADP,691406,691406,Junior Caminero,TB,8.0,8,10-team dynasty startup snake,
FantasyPros overall ADP,660670,660670,Ronald Acuna Jr.,ATL,8.0,7,10-team dynasty startup snake,
FantasyPros overall ADP,694192,694192,Jackson Chourio,MIL,8.5,10,10-team dynasty startup snake,
FantasyPros overall ADP,694973,694973,Paul Skenes,PIT,8.5,9,10-team dynasty startup snake,
FantasyPros overall ADP,701762,701762,Nick Kurtz,ATH,11.5,11,10-team dynasty startup snake,
FantasyPros overall ADP,665487,665487,Fernando Tatis Jr.,SD,12.0,12,10-team dynasty startup snake,
FantasyPros overall ADP,592450,15640,Aaron Judge,NYY,13.5,14,10-team dynasty startup snake,
FantasyPros overall ADP,669373,669373,Tarik Skubal,DET,13.5,13,10-team dynasty startup snake,
FantasyPros overall ADP,683002,683002,Gunnar Henderson,BAL,14.0,15,10-team dynasty startup snake,
FantasyPros overall ADP,663656,663656,Kyle Tucker,LAD,16.5,16,10-team dynasty startup snake,
FantasyPros overall ADP,701350,701350,Roman Anthony,BOS,17.5,17,10-team dynasty startup snake,
FantasyPros overall ADP,608070,13510,Jose Ramirez,CLE,19.0,18,10-team dynasty startup snake,
FantasyPros overall ADP,665489,665489,Vladimir Guerrero Jr.,TOR,19.0,19,10-team dynasty startup snake,
FantasyPros overall ADP,676979,676979,Garrett Crochet,BOS,20.5,20,10-team dynasty startup snake,
FantasyPros overall ADP,663728,663728,Cal Raleigh,SEA,22.5,22,10-team dynasty startup snake,
