source,mlbam_id,player_name,current_level,levels_seen,source_sport_ids,affiliated_team_id,birth_date,age,bat_side,pitch_hand,primary_position,position_type,draft_year,active,affiliated_team,affiliated_team_abbr,league_name,parent_org_id,parent_org_name
MLB Stats API affiliated player feeds,691021,A.J. Vukovich,AAA,AAA,11,2310,2001-07-20,24,R,R,OF,Outfielder,2020,True,Reno Aces,RNO,Pacific Coast League,109,Arizona Diamondbacks
MLB Stats API affiliated player feeds,680728,Adrian Del Castillo,AAA,AAA/Rookie,11/16,2310,1999-09-27,26,L,R,C,Catcher,2021,True,Reno Aces,RNO,Pacific Coast League,109,Arizona Diamondbacks
MLB Stats API affiliated player feeds,696508,Alec Baker,AAA,AAA/AA,11/12,2310,1999-12-04,26,R,R,P,Pitcher,2023,True,Reno Aces,RNO,Pacific Coast League,109,Arizona Diamondbacks
MLB Stats API affiliated player feeds,801219,Alfred Morillo,AAA,AAA/AA,11/12,2310,2001-11-14,24,R,R,P,Pitcher,,True,Reno Aces,RNO,Pacific Coast League,109,Arizona Diamondbacks
MLB Stats API affiliated player feeds,685314,Andrew Saalfrank,AAA,AAA/Rookie,11/16,2310,1997-08-18,28,L,L,P,Pitcher,2019,True,Reno Aces,RNO,Pacific Coast League,109,Arizona Diamondbacks
MLB Stats API affiliated player feeds,681581,Andy Weber,AAA,AAA/AA,11/12,2310,1997-07-25,28,L,R,2B,Infielder,2018,True,Reno Aces,RNO,Pacific Coast League,109,Arizona Diamondbacks
MLB Stats API affiliated player feeds,605244,Aramis Garcia,AAA,AAA,11,2310,1993-01-12,33,R,R,C,Catcher,2014,True,Reno Aces,RNO,Pacific Coast League,109,Arizona Diamondbacks
MLB Stats API affiliated player feeds,687166,Austin Pope,AAA,AAA/Rookie,11/16,2310,1998-10-26,27,R,R,P,Pitcher,2019,True,Reno Aces,RNO,Pacific Coast League,109,Arizona Diamondbacks
MLB Stats API affiliated player feeds,683008,Avery Short,AAA,AAA/AA,11/12,2310,2001-03-14,25,R,L,P,Pitcher,2019,True,Reno Aces,RNO,Pacific Coast League,109,Arizona Diamondbacks
MLB Stats API affiliated player feeds,682225,Billy Corcoran,AAA,AAA,11,2310,1999-08-21,26,R,R,P,Pitcher,2022,True,Reno Aces,RNO,Pacific Coast League,109,Arizona Diamondbacks
MLB Stats API affiliated player feeds,677942,Blaze Alexander,AAA,AAA,11,2310,1999-06-11,26,R,R,SS,Infielder,2018,True,Reno Aces,RNO,Pacific Coast League,109,Arizona Diamondbacks
MLB Stats API affiliated player feeds,656232,Brandon Bielak,AAA,AAA,11,2310,1996-04-02,29,L,R,P,Pitcher,2017,True,Reno Aces,RNO,Pacific Coast League,109,Arizona Diamondbacks
MLB Stats API affiliated player feeds,686826,Bryce Jarvis,AAA,AAA,11,2310,1997-12-26,28,L,R,P,Pitcher,2020,True,Reno Aces,RNO,Pacific Coast League,109,Arizona Diamondbacks
MLB Stats API affiliated player feeds,814783,Casey Anderson,AAA,AAA/AA/High-A/Single-A,11/12/13/14,2310,2000-08-31,25,R,R,P,Pitcher,2023,True,Reno Aces,RNO,Pacific Coast League,109,Arizona Diamondbacks
MLB Stats API affiliated player feeds,543391,Casey Kelly,AAA,AAA,11,2310,1989-10-04,36,R,R,P,Pitcher,2008,True,Reno Aces,RNO,Pacific Coast League,109,Arizona Diamondbacks
MLB Stats API affiliated player feeds,685461,Cesar Gomez,AAA,AAA/AA,11/12,2310,1998-07-09,27,L,R,P,Pitcher,2020,True,Reno Aces,RNO,Pacific Coast League,109,Arizona Diamondbacks
MLB Stats API affiliated player feeds,801216,Christian Montes De Oca,AAA,AAA,11,2310,1999-08-30,26,R,R,P,Pitcher,,True,Reno Aces,RNO,Pacific Coast League,109,Arizona Diamondbacks
MLB Stats API affiliated player feeds,663731,Connor Kaiser,AAA,AAA,11,2310,1996-11-20,29,R,R,SS,Infielder,2018,True,Reno Aces,RNO,Pacific Coast League,109,Arizona Diamondbacks
MLB Stats API affiliated player feeds,682202,Conor Grammes,AAA,AAA/AA,11/12,2310,1997-07-13,28,R,R,P,Pitcher,2019,True,Reno Aces,RNO,Pacific Coast League,109,Arizona Diamondbacks
