team,mlbam_id,player_name,player_type,mlb_team,weeks_active,runs,home_runs,rbi,stolen_bases,at_bats,hits,walks,hit_by_pitch,sac_flies,obp,wins,strikeouts,saves,innings_pitched,outs_pitched,earned_runs,hits_allowed,walks_allowed,era,whip
Chris,666182,Bo Bichette,hitter,NYM,8,19,2,18,1,193,39,15,0,2,0.257,0,0,0,0.0,0,0,0,0,0.0,0.0
Chris,677951,Bobby Witt Jr.,hitter,KC,8,22,7,23,13,189,56,24,0,2,0.372,0,0,0,0.0,0,0,0,0,0.0,0.0
Chris,668804,Bryan Reynolds,hitter,PIT,8,29,4,26,3,166,41,34,2,1,0.379,0,0,0,0.0,0,0,0,0,0.0,0.0
Chris,641355,Cody Bellinger,hitter,NYY,8,28,5,30,5,161,43,31,0,3,0.379,0,0,0,0.0,0,0,0,0,0.0,0.0
Chris,656302,Dylan Cease,pitcher,TOR,8,0,0,0,0,0,0,0,0,0,0.0,3,81,0,56.2,170,16,46,24,2.54,1.24
Chris,686218,Emmet Sheehan,pitcher,LAD,8,0,0,0,0,0,0,0,0,0,0.0,3,49,0,41.2,125,21,40,12,4.54,1.25
Chris,668909,Gavin Williams,pitcher,CLE,8,0,0,0,0,0,0,0,0,0,0.0,6,73,0,61.1,184,25,51,22,3.67,1.19
Chris,680694,Kyle Bradish,pitcher,BAL,8,0,0,0,0,0,0,0,0,0,0.0,2,52,0,47.0,141,22,47,25,4.21,1.53
Chris,671732,Lawrence Butler,hitter,ATH,8,16,3,12,4,129,22,18,0,0,0.272,0,0,0,0.0,0,0,0,0,0.0,0.0
Chris,621566,Matt Olson,hitter,ATL,8,36,14,38,1,181,50,23,0,2,0.354,0,0,0,0.0,0,0,0,0,0.0,0.0
Chris,691718,Pete Crow-Armstrong,hitter,CHC,8,25,5,20,12,175,41,15,5,0,0.313,0,0,0,0.0,0,0,0,0,0.0,0.0
Chris,682985,Riley Greene,hitter,DET,8,27,4,23,1,169,54,26,0,0,0.41,0,0,0,0.0,0,0,0,0,0.0,0.0
Chris,645261,Sandy Alcantara,pitcher,MIA,8,0,0,0,0,0,0,0,0,0,0.0,3,45,0,63.2,191,26,61,20,3.68,1.27
Chris,676440,Tanner Bibee,pitcher,CLE,8,0,0,0,0,0,0,0,0,0,0.0,0,47,0,52.0,156,24,50,20,4.15,1.35
Chris,665489,Vladimir Guerrero Jr.,hitter,TOR,8,27,3,20,3,172,49,22,2,1,0.371,0,0,0,0.0,0,0,0,0,0.0,0.0
Chris,669257,Will Smith,hitter,LAD,8,16,4,19,0,130,34,15,1,3,0.336,0,0,0,0.0,0,0,0,0,0.0,0.0
Chris,808967,Yoshinobu Yamamoto,pitcher,LAD,8,0,0,0,0,0,0,0,0,0,0.0,3,48,0,50.0,150,20,40,10,3.6,1.0
Chris,668678,Zac Gallen,pitcher,AZ,8,0,0,0,0,0,0,0,0,0,0.0,1,29,0,43.0,129,24,51,14,5.02,1.51
Chris,666142,Cole Ragans,pitcher,KC,7,0,0,0,0,0,0,0,0,0,0.0,1,45,0,35.1,106,19,27,23,4.84,1.42
Chris,662139,Daulton Varsho,hitter,TOR,6,19,5,15,3,124,35,12,2,0,0.355,0,0,0,0.0,0,0,0,0,0.0,0.0
Chris,673962,Josh Jung,hitter,TEX,6,18,5,19,1,134,45,10,2,1,0.388,0,0,0,0.0,0,0,0,0,0.0,0.0
Chris,663697,Jonathan India,hitter,KC,4,10,2,8,0,52,10,8,2,0,0.323,0,0,0,0.0,0,0,0,0,0.0,0.0
Chris,650859,Luis Rengifo,hitter,MIL,4,6,0,10,1,68,15,7,0,0,0.293,0,0,0,0.0,0,0,0,0,0.0,0.0
Chris,664761,Alec Bohm,hitter,PHI,2,3,1,7,0,34,6,4,1,0,0.282,0,0,0,0.0,0,0,0,0,0.0,0.0
Chris,695506,Jac Caglianone,hitter,KC,2,3,0,0,0,31,8,4,1,0,0.361,0,0,0,0.0,0,0,0,0,0.0,0.0
Chris,640455,Sean Manaea,pitcher,NYM,1,0,0,0,0,0,0,0,0,0,0.0,0,3,0,4.0,12,2,4,2,4.5,1.5
Rob,682663,Agustin Ramirez,hitter,MIA,8,14,2,14,3,113,26,13,2,1,0.318,0,0,0,0.0,0,0,0,0,0.0,0.0
Rob,694297,Brandon Pfaadt,pitcher,AZ,8,0,0,0,0,0,0,0,0,0,0.0,0,27,0,32.2,98,23,32,15,6.34,1.44
Rob,693433,Bryan Woo,pitcher,SEA,8,0,0,0,0,0,0,0,0,0,0.0,3,47,0,53.0,159,23,43,10,3.91,1.0
Rob,547180,Bryce Harper,hitter,PHI,8,28,12,30,2,172,48,29,0,1,0.381,0,0,0,0.0,0,0,0,0,0.0,0.0
Rob,681082,Bryson Stott,hitter,PHI,8,14,4,21,9,146,32,8,1,1,0.263,0,0,0,0.0,0,0,0,0,0.0,0.0
