week,team,recommendation_type,trigger_player_name,trigger_reason,recommendation,player_name,player_type,eligible_positions,current_level,projected_role_if_promoted,projected_slot_if_promoted,candidate_projection_value,drop_candidate_name,drop_candidate_role,drop_candidate_value,improvement,rationale
2026-week-03,Chris,no-change,,,No change recommended,,,,,,,,,,,,Current MLB bucket already optimizes above all rostered minor-league alternatives.
2026-week-03,Rob,no-change,,,No change recommended,,,,,,,,,,,,Current MLB bucket already optimizes above all rostered minor-league alternatives.
2026-week-03,Wendell,no-change,,,No change recommended,,,,,,,,,,,,Current MLB bucket already optimizes above all rostered minor-league alternatives.
2026-week-03,Matt,no-change,,,No change recommended,,,,,,,,,,,,Current MLB bucket already optimizes above all rostered minor-league alternatives.
2026-week-03,Michael,no-change,,,No change recommended,,,,,,,,,,,,Current MLB bucket already optimizes above all rostered minor-league alternatives.
2026-week-03,Paul,no-change,,,No change recommended,,,,,,,,,,,,Current MLB bucket already optimizes above all rostered minor-league alternatives.
2026-week-03,Josh M,auto-applied-il-add,Andrew Vaughn,10-day Injured List,Auto-applied IL move and replacement add,Nolan Arenado,hitter,3B,,,,,,,,,Applied automatically before rebuilding the weekly lineup and decision outputs.
2026-week-03,Josh M,no-change,,,No change recommended,,,,,,,,,,,,No additional moves recommended after auto-applying IL updates.
2026-week-03,Shane,no-change,,,No change recommended,,,,,,,,,,,,Current MLB bucket already optimizes above all rostered minor-league alternatives.
2026-week-03,Greg,auto-applied-il-add,Matthew Boyd,15-day Injured List,Auto-applied IL move and replacement add,Bailey Ober,pitcher,SP/P/PITCHER,,,,,,,,,Applied automatically before rebuilding the weekly lineup and decision outputs.
2026-week-03,Greg,no-change,,,No change recommended,,,,,,,,,,,,No additional moves recommended after auto-applying IL updates.
2026-week-03,Josh V,no-change,,,No change recommended,,,,,,,,,,,,Current MLB bucket already optimizes above all rostered minor-league alternatives.
2026-week-03,Greg,fa-acquisition,Chris Bassitt,Weakest active player (value 164.1),Drop and add free agent,Jorge Soler,hitter,OF,,,,192.7,Chris Bassitt,,164.1,28.6,"FA acquisition (pass 1, threshold 10.0)"
2026-week-03,Josh M,fa-acquisition,Jesus Sanchez,Weakest active player (value 170.9),Drop and add free agent,Lane Thomas,hitter,OF/CF/OUTFIELDER,,,,191.7,Jesus Sanchez,,170.9,20.8,"FA acquisition (pass 1, threshold 6.0)"
2026-week-03,Shane,fa-acquisition,Tatsuya Imai,Weakest active player (value 167.7),Drop and add free agent,J.T. Realmuto,hitter,C,,,,188.7,Tatsuya Imai,,167.7,22.5,"FA acquisition (pass 1, threshold 4.0)"
2026-week-03,Rob,fa-acquisition,Owen Caissie,Weakest active player (value 161.8),Drop and add free agent,Lourdes Gurriel Jr.,hitter,OF,,,,187.6,Owen Caissie,,161.8,28.3,"FA acquisition (pass 1, threshold 10.0)"
2026-week-03,Michael,fa-acquisition,Brady House,Weakest active player (value 164.1),Drop and add free agent,Logan O’Hoppe,hitter,C,,,,187.5,Brady House,,164.1,23.5,"FA acquisition (pass 1, threshold 10.0)"
2026-week-03,Wendell,fa-acquisition,Michael Wacha,Weakest active player (value 162.0),Drop and add free agent,Austin Wells,hitter,C,,,,181.9,Michael Wacha,,162.0,19.8,"FA acquisition (pass 1, threshold 12.0)"
2026-week-03,Chris,fa-acquisition,Matt Shaw,Weakest active player (value 158.2),Drop and add free agent,Mike Yastrzemski,hitter,OF,,,,180.3,Matt Shaw,,158.2,22.2,"FA acquisition (pass 1, threshold 8.0)"
2026-week-03,Matt,fa-acquisition,Roki Sasaki,Weakest active player (value 121.5),Drop and add free agent,Parker Meadows,hitter,OF/CF/OUTFIELDER,,,,180.3,Roki Sasaki,,121.5,58.8,"FA acquisition (pass 1, threshold 2.0)"
2026-week-03,Greg,fa-acquisition,Brady Singer,Weakest active player (value 164.2),Drop and add free agent,Bo Naylor,hitter,C,,,,178.3,Brady Singer,,164.2,14.0,"FA acquisition (pass 2, threshold 10.0)"
