mlbam_id,player_name,team,weekly_pa,weekly_ab,weekly_r,weekly_hr,weekly_rbi,weekly_sb,weekly_h,weekly_bb,weekly_hbp,weekly_sf,weekly_obp,weekly_ip,weekly_w,weekly_sv,weekly_k,weekly_er,weekly_pitch_h,weekly_pitch_bb,weekly_era,weekly_whip
805999,A.J. Ewing,NYM,14,14,0,0,1,1,4,0,0,0,0.286,0.0,0,0,0,0,0,0,0.00,0.00
621345,A.J. Minter,NYM,0,0,0,0,0,0,0,0,0,0,0.000,1.0,0,0,0,1,3,0,9.00,3.00
805123,AJ Blubaugh,HOU,0,0,0,0,0,0,0,0,0,0,0.000,2.0,0,0,3,0,1,1,0.00,1.00
676879,Aaron Ashby,MIL,0,0,0,0,0,0,0,0,0,0,0.000,2.0,0,0,3,0,3,0,0.00,1.50
605400,Aaron Nola,PHI,0,0,0,0,0,0,0,0,0,0,0.000,6.0,0,0,6,3,6,4,4.50,1.67
682842,Abner Uribe,MIL,0,0,0,0,0,0,0,0,0,0,0.000,2.0,0,0,4,0,2,0,0.00,1.00
671936,Adam Macko,TOR,0,0,0,0,0,0,0,0,0,0,0.000,1.0,0,0,2,2,2,2,18.00,4.00
668939,Adley Rutschman,BAL,10,7,1,0,0,0,1,2,1,0,0.400,0.0,0,0,0,0,0,0,0.00,0.00
680728,Adrian Del Castillo,AZ,4,3,2,0,0,0,2,1,0,0,0.750,0.0,0,0,0,0,0,0,0.00,0.00
605288,Adrian Houser,SF,0,0,0,0,0,0,0,0,0,0,0.000,3.0,0,0,1,3,4,1,9.00,1.67
670970,Adrian Morejon,SD,0,0,0,0,0,0,0,0,0,0,0.000,2.0,0,0,1,1,2,1,4.50,1.50
660604,Alan Rangel,PHI,0,0,0,0,0,0,0,0,0,0,0.000,4.0,0,0,4,5,7,3,11.25,2.50
702176,Alan Roden,MIN,5,5,0,0,0,0,1,0,0,0,0.200,0.0,0,0,0,0,0,0,0.00,0.00
664761,Alec Bohm,PHI,13,13,1,1,2,0,4,0,0,0,0.308,0.0,0,0,0,0,0,0,0.00,0.00
676475,Alec Burleson,STL,14,13,4,0,2,0,6,1,0,0,0.500,0.0,0,0,0,0,0,0,0.00,0.00
687941,Alec Gamboa,BOS,0,0,0,0,0,0,0,0,0,0,0.000,3.0,0,1,1,0,2,0,0.00,0.67
672386,Alejandro Kirk,TOR,8,5,0,0,0,0,1,3,0,0,0.500,0.0,0,0,0,0,0,0,0.00,0.00
696030,Alejandro Osuna,TEX,1,1,0,0,0,0,0,0,0,0,0.000,0.0,0,0,0,0,0,0,0.00,0.00
608324,Alex Bregman,CHC,13,11,2,1,2,0,2,2,0,0,0.308,0.0,0,0,0,0,0,0,0.00,0.00
669743,Alex Call,LAD,2,0,0,0,0,0,0,2,0,0,1.000,0.0,0,0,0,0,0,0,0.00,0.00
690976,Alex Freeland,LAD,0,0,0,0,0,0,0,0,0,0,0.000,0.0,0,0,0,0,0,0,0.00,0.00
656577,Alex Jackson,MIN,1,1,0,0,0,0,1,0,0,0,1.000,0.0,0,0,0,0,0,0,0.00,0.00
656638,Alex Lange,KC,0,0,0,0,0,0,0,0,0,0,0.000,1.0,0,0,0,1,1,0,9.00,1.00
681911,Alex Vesia,LAD,0,0,0,0,0,0,0,0,0,0,0.000,2.0,0,0,3,0,1,2,0.00,1.50
645305,Ali Sánchez,NYY,6,6,0,0,0,0,0,0,0,0,0.000,0.0,0,0,0,0,0,0,0.00,0.00
675961,Alika Williams,ATH,4,4,1,0,0,0,2,0,0,0,0.500,0.0,0,0,0,0,0,0,0.00,0.00
642708,Amed Rosario,NYY,1,1,0,0,0,0,0,0,0,0,0.000,0.0,0,0,0,0,0,0,0.00,0.00
669467,Andre Pallante,STL,0,0,0,0,0,0,0,0,0,0,0.000,5.1,0,0,3,3,5,2,5.06,1.31
643217,Andrew Benintendi,CWS,10,7,2,0,1,0,2,2,0,1,0.400,0.0,0,0,0,0,0,0,0.00,0.00
552640,Andrew Kittredge,BAL,0,0,0,0,0,0,0,0,0,0,0.000,2.0,1,0,1,0,2,1,0.00,1.50
702193,Andrew Morris,MIN,0,0,0,0,0,0,0,0,0,0,0.000,1.0,0,0,0,0,0,0,0.00,0.00
683734,Andrew Vaughn,MIL,5,5,0,0,0,0,1,0,0,0,0.200,0.0,0,0,0,0,0,0,0.00,0.00
655316,Andruw Monasterio,BOS,8,6,2,0,1,0,3,2,0,0,0.625,0.0,0,0,0,0,0,0,0.00,0.00
665953,Andrés Chaparro,WSH,10,8,4,2,8,0,4,2,0,0,0.600,0.0,0,0,0,0,0,0,0.00,0.00
665926,Andrés Giménez,TOR,5,5,0,0,0,1,1,0,0,0,0.200,0.0,0,0,0,0,0,0,0.00,0.00
662253,Andrés Muñoz,SEA,0,0,0,0,0,0,0,0,0,0,0.000,2.0,0,1,4,0,0,0,0.00,0.00
681624,Andy Pages,LAD,20,18,0,0,2,0,3,0,2,0,0.250,0.0,0,0,0,0,0,0,0.00,0.00
683409,Angel Chivilli,NYY,0,0,0,0,0,0,0,0,0,0,0.000,2.2,0,0,6,0,0,0,0.00,0.00
641743,Anthony Kay,CWS,0,0,0,0,0,0,0,0,0,0,0.000,4.0,0,0,5,2,2,3,4.50,1.25
689296,Anthony Nunez,BAL,0,0,0,0,0,0,0,0,0,0,0.000,2.0,0,0,0,0,0,2,0.00,1.00
678011,Anthony Seigler,BOS,13,12,0,0,1,0,3,1,0,0,0.308,0.0,0,0,0,0,0,0,0.00,0.00
683011,Anthony Volpe,NYY,9,8,0,0,2,0,2,1,0,0,0.333,0.0,0,0,0,0,0,0,0.00,0.00
547973,Aroldis Chapman,BOS,0,0,0,0,0,0,0,0,0,0,0.000,2.2,0,2,3,0,0,2,0.00,0.75
595978,Austin Hedges,CLE,2,2,0,0,0,0,0,0,0,0,0.000,0.0,0,0,0,0,0,0,0.00,0.00
668885,Austin Martin,MIN,9,8,2,0,0,1,1,1,0,0,0.222,0.0,0,0,0,0,0,0,0.00,0.00
663586,Austin Riley,ATL,13,12,5,3,5,0,6,0,1,0,0.538,0.0,0,0,0,0,0,0,0.00,0.00
669224,Austin Wells,NYY,6,4,0,0,0,0,0,2,0,0,0.333,0.0,0,0,0,0,0,0,0.00,0.00
641927,Bailey Ober,MIN,0,0,0,0,0,0,0,0,0,0,0.000,5.1,1,0,7,2,5,2,3.38,1.31
694360,Beck Way,KC,0,0,0,0,0,0,0,0,0,0,0.000,2.2,0,0,4,1,2,1,3.38,1.12
701162,Ben Malgeri,DET,3,3,0,0,0,0,1,0,0,0,0.333,0.0,0,0,0,0,0,0,0.00,0.00
687239,Ben Peoples,TEX,0,0,0,0,0,0,0,0,0,0,0.000,1.1,0,0,1,1,2,0,6.75,1.50
700250,Ben Rice,NYY,18,18,0,0,1,0,6,0,0,0,0.333,0.0,0,0,0,0,0,0,0.00,0.00
810938,Ben Williamson,TB,11,11,0,0,0,0,1,0,0,0,0.091,1.0,0,0,0,0,2,0,0.00,2.00
695257,Billy Cook,PIT,4,4,2,0,2,1,3,0,0,0,0.750,0.0,0,0,0,0,0,0,0.00,0.00
691458,Blaze Jordan,STL,5,5,1,0,3,0,3,0,0,0,0.600,0.0,0,0,0,0,0,0,0.00,0.00
666182,Bo Bichette,NYM,14,12,1,0,0,0,2,2,0,0,0.286,0.0,0,0,0,0,0,0,0.00,0.00
677951,Bobby Witt Jr.,KC,11,9,1,0,0,0,0,2,0,0,0.182,0.0,0,0,0,0,0,0,0.00,0.00
695731,Braden Montgomery,CWS,12,12,2,0,5,1,4,0,0,0,0.333,0.0,0,0,0,0,0,0,0.00,0.00
669699,Braden Shewmake,MIL,6,5,2,0,1,1,2,0,0,1,0.333,0.0,0,0,0,0,0,0,0.00,0.00
699134,Bradgley Rodriguez,SD,0,0,0,0,0,0,0,0,0,0,0.000,1.0,0,0,1,0,1,1,0.00,2.00
669620,Brady Basso,ATH,0,0,0,0,0,0,0,0,0,0,0.000,3.0,0,0,5,0,2,1,0.00,1.00
