pick_number,round,pick_in_round,team,player_name,player_type,position_bucket,eligible_positions,roster_bucket,current_level,dynasty_rank,adp,injury_status,transaction_status,rationale
1,1,1,Chris,Bobby Witt Jr.,hitter,SS,SS,MLB,MLB,2,2.6,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Bobby Witt Jr. fit as a speed-impact bat; dynasty rank 2; market ADP 2.6; roster construction needed this position fit."
2,1,2,Rob,Juan Soto,hitter,OF,OF,MLB,MLB,7,3.4,,,"Rob prioritized ratio protection and downside control in OBP, ERA, and WHIP; Juan Soto fit as a OBP anchor bat; dynasty rank 7; market ADP 3.4; roster construction needed this position fit."
3,1,3,Wendell,Aaron Judge,hitter,OF,OF,MLB,MLB,4,8.9,,,"Wendell prioritized track record, market comfort, and familiar MLB certainty; Aaron Judge fit as a OBP anchor bat; dynasty rank 4; market ADP 8.9; roster construction needed this position fit."
4,1,4,Matt,Elly De La Cruz,hitter,SS,SS,MLB,MLB,10,5.0,,,"Matt prioritized weekly usability, flexibility, and role-driven edges; Elly De La Cruz fit as a speed-impact bat; dynasty rank 10; market ADP 5.0; roster construction needed this position fit."
5,1,5,Michael,Konnor Griffin,hitter,SS,SS/INFIELDER,Minors,AA,42,25.5,,Status Change,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Konnor Griffin fit as a ss contributor; dynasty rank 42; market ADP 25.5; as a minor-league stash; closer-to-MLB proximity still fit the manager's prospect plan; upper-minors proximity improved the stash appeal."
6,1,6,Paul,Corbin Carroll,hitter,OF,OF,MLB,MLB,8,4.0,,,"Paul prioritized category leverage in OBP, speed, saves, and point swings; Corbin Carroll fit as a speed-impact bat; dynasty rank 8; market ADP 4.0; roster construction needed this position fit."
7,1,7,Josh M,Julio Rodriguez,hitter,OF,OF,MLB,MLB,9,7.5,,,Josh M prioritized portfolio balance and optional roster construction; Julio Rodriguez fit as a speed-impact bat; dynasty rank 9; market ADP 7.5; roster construction needed this position fit.
8,1,8,Shane,Jose Ramirez,hitter,3B,3B,MLB,MLB,13,13.6,,,"Shane prioritized clear jobs, volume paths, and role-change usability; Jose Ramirez fit as a speed-impact bat; dynasty rank 13; market ADP 13.6; roster construction needed this position fit."
9,1,9,Greg,Cal Raleigh,hitter,C,C,MLB,MLB,21,22.5,,,Greg prioritized present-year reliability and secure MLB roles; Cal Raleigh fit as a c contributor; dynasty rank 21; market ADP 22.5; roster construction needed this position fit.
10,1,10,Josh V,Junior Caminero,hitter,3B,3B,MLB,MLB,14,8.0,,,Josh V prioritized long-term ceiling and upside over market conservatism; Junior Caminero fit as a 3b contributor; dynasty rank 14; market ADP 8.0; roster construction needed this position fit.
