pick_number,round,pick_in_round,team,player_name,player_type,position_bucket,eligible_positions,roster_bucket,current_level,dynasty_rank,adp,injury_status,transaction_status,rationale
1,1,1,Chris,Shohei Ohtani,two-way,TWP,DH/SP,MLB,MLB,1,1.1,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Shohei Ohtani fit as a two-way franchise piece; dynasty rank 1; market ADP 1.1; MLB-slot pressure required immediate production."
20,2,10,Chris,Francisco Lindor,hitter,SS,SS,MLB,MLB,23,27.5,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Francisco Lindor fit as a speed-impact bat; dynasty rank 23; market ADP 27.5; MLB-slot pressure required immediate production; roster construction needed this position fit."
21,3,1,Chris,Pete Crow-Armstrong,hitter,OF,OF,MLB,MLB,35,23.5,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Pete Crow-Armstrong fit as a speed-impact bat; dynasty rank 35; market ADP 23.5; MLB-slot pressure required immediate production; roster construction needed this position fit."
40,4,10,Chris,Manny Machado,hitter,3B,3B,MLB,MLB,44,52.0,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Manny Machado fit as a 3b contributor; dynasty rank 44; market ADP 52.0; MLB-slot pressure required immediate production; roster construction needed this position fit."
41,5,1,Chris,Jarren Duran,hitter,OF,OF,MLB,MLB,75,51.0,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Jarren Duran fit as a speed-impact bat; dynasty rank 75; market ADP 51.0; MLB-slot pressure required immediate production; roster construction needed this position fit; team OBP build needed reinforcement."
60,6,10,Chris,William Contreras,hitter,C,C,MLB,MLB,59,82.0,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; William Contreras fit as a c contributor; dynasty rank 59; market ADP 82.0; MLB-slot pressure required immediate production; roster construction needed this position fit; team OBP build needed reinforcement."
61,7,1,Chris,Josh Naylor,hitter,1B,1B,MLB,MLB,54,75.0,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Josh Naylor fit as a 1b contributor; dynasty rank 54; market ADP 75.0; MLB-slot pressure required immediate production; roster construction needed this position fit; team OBP build needed reinforcement."
80,8,10,Chris,George Kirby,pitcher,SP,SP,MLB,MLB,57,62.0,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; George Kirby fit as a sp contributor; dynasty rank 57; market ADP 62.0; MLB-slot pressure required immediate production."
81,9,1,Chris,Joe Ryan,pitcher,SP,SP,MLB,MLB,56,68.5,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Joe Ryan fit as a sp contributor; dynasty rank 56; market ADP 68.5; MLB-slot pressure required immediate production."
100,10,10,Chris,Tyler Soderstrom,hitter,1B,1B/OF,MLB,MLB,72,116.0,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Tyler Soderstrom fit as a 1b contributor; dynasty rank 72; market ADP 116.0; MLB-slot pressure required immediate production; roster construction needed this position fit; team OBP build needed reinforcement."
