pick_number,round,pick_in_round,team,player_name,player_type,position_bucket,eligible_positions,roster_bucket,current_level,dynasty_rank,adp,injury_status,transaction_status,rationale
9,1,9,Greg,Cal Raleigh,hitter,C,C,MLB,MLB,21,22.5,,,Greg prioritized present-year reliability and secure MLB roles; Cal Raleigh fit as a c contributor; dynasty rank 21; market ADP 22.5; roster construction needed this position fit.
12,2,2,Greg,Gunnar Henderson,hitter,SS,SS,MLB,MLB,20,14.0,,,Greg prioritized present-year reliability and secure MLB roles; Gunnar Henderson fit as a speed-impact bat; dynasty rank 20; market ADP 14.0; roster construction needed this position fit.
29,3,9,Greg,Jazz Chisholm Jr.,hitter,2B,2B/3B,MLB,MLB,26,35.0,,,Greg prioritized present-year reliability and secure MLB roles; Jazz Chisholm Jr. fit as a speed-impact bat; dynasty rank 26; market ADP 35.0; roster construction needed this position fit.
32,4,2,Greg,Kyle Schwarber,hitter,OF,DH/OF,MLB,MLB,29,42.5,,,Greg prioritized present-year reliability and secure MLB roles; Kyle Schwarber fit as a of contributor; dynasty rank 29; market ADP 42.5; roster construction needed this position fit.
49,5,9,Greg,George Springer,hitter,OF,OF,MLB,MLB,211,55.0,,,Greg prioritized present-year reliability and secure MLB roles; George Springer fit as a of contributor; dynasty rank 211; market ADP 55.0; roster construction needed this position fit; team OBP build needed reinforcement.
52,6,2,Greg,Mookie Betts,hitter,SS,SS,IL,MLB,45,53.0,10-day Injured List,Status Change,Greg prioritized present-year reliability and secure MLB roles; Mookie Betts fit as a ss contributor; dynasty rank 45; market ADP 53.0; roster construction needed this position fit; team OBP build needed reinforcement.
69,7,9,Greg,Logan Webb,pitcher,SP,SP,MLB,MLB,72,58.0,,,Greg prioritized present-year reliability and secure MLB roles; Logan Webb fit as a sp contributor; dynasty rank 72; market ADP 58.0.
72,8,2,Greg,Alex Bregman,hitter,3B,3B,MLB,MLB,70,78.0,,Signed as Free Agent,Greg prioritized present-year reliability and secure MLB roles; Alex Bregman fit as a 3b contributor; dynasty rank 70; market ADP 78.0; roster construction needed this position fit.
89,9,9,Greg,Spencer Strider,pitcher,SP,SP,IL,,75,64.0,15-day Injured List,Status Change,Greg prioritized present-year reliability and secure MLB roles; Spencer Strider fit as a sp contributor; dynasty rank 75; market ADP 64.0.
92,10,2,Greg,Seiya Suzuki,hitter,OF,OF,MLB,,64,93.5,,,Greg prioritized present-year reliability and secure MLB roles; Seiya Suzuki fit as a of contributor; dynasty rank 64; market ADP 93.5; roster construction needed this position fit.
109,11,9,Greg,Adolis Garcia,hitter,OF,OF,MLB,MLB,366,101.0,,,Greg prioritized present-year reliability and secure MLB roles; Adolis Garcia fit as a of contributor; dynasty rank 366; market ADP 101.0; roster construction needed this position fit.
112,12,2,Greg,Michael Busch,hitter,1B,1B,MLB,MLB,80,101.0,,,Greg prioritized present-year reliability and secure MLB roles; Michael Busch fit as a 1b contributor; dynasty rank 80; market ADP 101.0; roster construction needed this position fit; team OBP build needed reinforcement.
129,13,9,Greg,Zack Wheeler,pitcher,SP,SP,MLB,,119,119.0,,,Greg prioritized present-year reliability and secure MLB roles; Zack Wheeler fit as a sp contributor; dynasty rank 119; market ADP 119.0.
132,14,2,Greg,Jacob deGrom,pitcher,SP,SP,MLB,MLB,81,134.0,,,Greg prioritized present-year reliability and secure MLB roles; Jacob deGrom fit as a sp contributor; dynasty rank 81; market ADP 134.0.
149,15,9,Greg,Chris Sale,pitcher,SP,SP,MLB,MLB,84,144.0,,,Greg prioritized present-year reliability and secure MLB roles; Chris Sale fit as a sp contributor; dynasty rank 84; market ADP 144.0.
