pick_number,round,pick_in_round,team,player_name,player_type,position_bucket,eligible_positions,roster_bucket,current_level,dynasty_rank,adp,injury_status,transaction_status,rationale
7,1,7,Josh M,Julio Rodriguez,hitter,OF,OF,MLB,MLB,9,7.5,,,Josh M prioritized portfolio balance and optional roster construction; Julio Rodriguez fit as a speed-impact bat; dynasty rank 9; market ADP 7.5; MLB-slot pressure required immediate production; roster construction needed this position fit.
14,2,4,Josh M,Jackson Chourio,hitter,OF,OF,MLB,MLB,12,8.5,,,Josh M prioritized portfolio balance and optional roster construction; Jackson Chourio fit as a speed-impact bat; dynasty rank 12; market ADP 8.5; MLB-slot pressure required immediate production; roster construction needed this position fit.
27,3,7,Josh M,Jazz Chisholm Jr.,hitter,2B,2B/3B,MLB,MLB,26,35.0,,,Josh M prioritized portfolio balance and optional roster construction; Jazz Chisholm Jr. fit as a speed-impact bat; dynasty rank 26; market ADP 35.0; MLB-slot pressure required immediate production; roster construction needed this position fit.
34,4,4,Josh M,Pete Alonso,hitter,1B,1B,MLB,MLB,32,34.0,,,Josh M prioritized portfolio balance and optional roster construction; Pete Alonso fit as a 1b contributor; dynasty rank 32; market ADP 34.0; MLB-slot pressure required immediate production; roster construction needed this position fit.
47,5,7,Josh M,Cristopher Sanchez,pitcher,SP,SP,MLB,MLB,34,36.5,,,Josh M prioritized portfolio balance and optional roster construction; Cristopher Sanchez fit as a sp contributor; dynasty rank 34; market ADP 36.5; MLB-slot pressure required immediate production.
54,6,4,Josh M,Maikel Garcia,hitter,SS,3B/2B/SS/OF,MLB,MLB,77,80.0,,,Josh M prioritized portfolio balance and optional roster construction; Maikel Garcia fit as a speed-impact bat; dynasty rank 77; market ADP 80.0; MLB-slot pressure required immediate production; roster construction needed this position fit; position scarcity play at 3B pushed the pick up; team OBP build needed reinforcement.
67,7,7,Josh M,Alex Bregman,hitter,3B,3B,MLB,MLB,69,78.0,,Signed as Free Agent,Josh M prioritized portfolio balance and optional roster construction; Alex Bregman fit as a 3b contributor; dynasty rank 69; market ADP 78.0; MLB-slot pressure required immediate production; roster construction needed this position fit; position scarcity play at 3B pushed the pick up; team OBP build needed reinforcement.
74,8,4,Josh M,Corey Seager,hitter,SS,SS,MLB,MLB,63,88.0,,,Josh M prioritized portfolio balance and optional roster construction; Corey Seager fit as a ss contributor; dynasty rank 63; market ADP 88.0; MLB-slot pressure required immediate production; roster construction needed this position fit; position scarcity play at SS pushed the pick up; team OBP build needed reinforcement.
87,9,7,Josh M,Bo Bichette,hitter,SS,SS,MLB,MLB,66,90.5,,Signed as Free Agent,Josh M prioritized portfolio balance and optional roster construction; Bo Bichette fit as a ss contributor; dynasty rank 66; market ADP 90.5; MLB-slot pressure required immediate production; roster construction needed this position fit; position scarcity play at SS pushed the pick up; team OBP build needed reinforcement.
94,10,4,Josh M,Michael Busch,hitter,1B,1B,MLB,MLB,79,101.0,,,Josh M prioritized portfolio balance and optional roster construction; Michael Busch fit as a 1b contributor; dynasty rank 79; market ADP 101.0; MLB-slot pressure required immediate production; roster construction needed this position fit; team OBP build needed reinforcement.
107,11,7,Josh M,Michael King,pitcher,SP,SP,MLB,MLB,117,105.5,,,Josh M prioritized portfolio balance and optional roster construction; Michael King fit as a sp contributor; dynasty rank 117; market ADP 105.5; MLB-slot pressure required immediate production.
114,12,4,Josh M,Hunter Goodman,hitter,C,C,MLB,MLB,107,135.5,,,Josh M prioritized portfolio balance and optional roster construction; Hunter Goodman fit as a c contributor; dynasty rank 107; market ADP 135.5; MLB-slot pressure required immediate production; roster construction needed this position fit; team OBP build needed reinforcement.
127,13,7,Josh M,Alec Burleson,hitter,1B,1B/OF,MLB,MLB,235,140.0,,,Josh M prioritized portfolio balance and optional roster construction; Alec Burleson fit as a 1b contributor; dynasty rank 235; market ADP 140.0; MLB-slot pressure required immediate production; roster construction needed this position fit; team OBP build needed reinforcement.
134,14,4,Josh M,Shota Imanaga,pitcher,SP,SP,MLB,MLB,169,137.0,,,Josh M prioritized portfolio balance and optional roster construction; Shota Imanaga fit as a sp contributor; dynasty rank 169; market ADP 137.0; MLB-slot pressure required immediate production.
147,15,7,Josh M,Heliot Ramos,hitter,OF,OF,MLB,MLB,142,157.0,,,Josh M prioritized portfolio balance and optional roster construction; Heliot Ramos fit as a of contributor; dynasty rank 142; market ADP 157.0; MLB-slot pressure required immediate production; roster construction needed this position fit; team OBP build needed reinforcement.
154,16,4,Josh M,Luis Robert Jr.,hitter,OF,OF,MLB,MLB,150,165.5,,Trade,Josh M prioritized portfolio balance and optional roster construction; Luis Robert Jr. fit as a speed-impact bat; dynasty rank 150; market ADP 165.5; MLB-slot pressure required immediate production; roster construction needed this position fit; team OBP build needed reinforcement.
167,17,7,Josh M,Shane Baz,pitcher,SP,SP,MLB,MLB,158,168.0,,,Josh M prioritized portfolio balance and optional roster construction; Shane Baz fit as a sp contributor; dynasty rank 158; market ADP 168.0; MLB-slot pressure required immediate production.
174,18,4,Josh M,Sandy Alcantara,pitcher,SP,SP,MLB,MLB,137,175.0,,,Josh M prioritized portfolio balance and optional roster construction; Sandy Alcantara fit as a sp contributor; dynasty rank 137; market ADP 175.0; MLB-slot pressure required immediate production.
187,19,7,Josh M,Tatsuya Imai,pitcher,SP,SP,MLB,MLB,153,193.0,,Signed as Free Agent,Josh M prioritized portfolio balance and optional roster construction; Tatsuya Imai fit as a sp contributor; dynasty rank 153; market ADP 193.0; MLB-slot pressure required immediate production.
194,20,4,Josh M,Kodai Senga,pitcher,SP,SP,MLB,MLB,256,198.0,,,Josh M prioritized portfolio balance and optional roster construction; Kodai Senga fit as a sp contributor; dynasty rank 256; market ADP 198.0; MLB-slot pressure required immediate production.
207,21,7,Josh M,Michael Wacha,pitcher,SP,SP,MLB,MLB,467,208.0,,,Josh M prioritized portfolio balance and optional roster construction; Michael Wacha fit as a sp contributor; dynasty rank 467; market ADP 208.0; MLB-slot pressure required immediate production.
214,22,4,Josh M,Gerrit Cole,pitcher,SP,SP,MLB,MLB,205,205.0,,,Josh M prioritized portfolio balance and optional roster construction; Gerrit Cole fit as a sp contributor; dynasty rank 205; market ADP 205.0; MLB-slot pressure required immediate production.
227,23,7,Josh M,Jung Hoo Lee,hitter,OF,OF,MLB,MLB,301,204.0,,,Josh M prioritized portfolio balance and optional roster construction; Jung Hoo Lee fit as a of contributor; dynasty rank 301; market ADP 204.0; MLB-slot pressure required immediate production; team OBP build needed reinforcement.
234,24,4,Josh M,Yainer Diaz,hitter,C,C,MLB,MLB,203,202.0,,,Josh M prioritized portfolio balance and optional roster construction; Yainer Diaz fit as a c contributor; dynasty rank 203; market ADP 202.0; MLB-slot pressure required immediate production; team OBP build needed reinforcement.
247,25,7,Josh M,Dalton Rushing,hitter,C,C,MLB,MLB,283,191.0,,,Josh M prioritized portfolio balance and optional roster construction; Dalton Rushing fit as a c contributor; dynasty rank 283; market ADP 191.0; MLB-slot pressure required immediate production; team OBP build needed reinforcement.
254,26,4,Josh M,Drew Rasmussen,pitcher,SP,SP,MLB,MLB,152,244.0,,,Josh M prioritized portfolio balance and optional roster construction; Drew Rasmussen fit as a sp contributor; dynasty rank 152; market ADP 244.0; MLB-slot pressure required immediate production.
267,27,7,Josh M,Kazuma Okamoto,hitter,3B,3B,MLB,MLB,443,218.0,,Status Change,Josh M prioritized portfolio balance and optional roster construction; Kazuma Okamoto fit as a 3b contributor; dynasty rank 443; market ADP 218.0; MLB-slot pressure required immediate production; team OBP build needed reinforcement.
274,28,4,Josh M,Noah Cameron,pitcher,SP,SP,MLB,MLB,268,255.0,,,Josh M prioritized portfolio balance and optional roster construction; Noah Cameron fit as a sp contributor; dynasty rank 268; market ADP 255.0; MLB-slot pressure required immediate production.
287,29,7,Josh M,Max Meyer,pitcher,SP,SP,MLB,MLB,229,254.0,,,Josh M prioritized portfolio balance and optional roster construction; Max Meyer fit as a sp contributor; dynasty rank 229; market ADP 254.0; MLB-slot pressure required immediate production.
