pick_number,round,pick_in_round,team,player_name,player_type,position_bucket,eligible_positions,roster_bucket,current_level,dynasty_rank,adp,injury_status,transaction_status,rationale
10,1,10,Josh V,Junior Caminero,hitter,3B,3B,MLB,MLB,14,8.0,,,Josh V prioritized long-term ceiling and upside over market conservatism; Junior Caminero fit as a 3b contributor; dynasty rank 14; market ADP 8.0; MLB-slot pressure required immediate production; roster construction needed this position fit.
11,2,1,Josh V,Gunnar Henderson,hitter,SS,SS,MLB,MLB,20,14.0,,,Josh V prioritized long-term ceiling and upside over market conservatism; Gunnar Henderson fit as a speed-impact bat; dynasty rank 20; market ADP 14.0; MLB-slot pressure required immediate production; roster construction needed this position fit.
30,3,10,Josh V,CJ Abrams,hitter,SS,SS,MLB,MLB,46,34.0,,,Josh V prioritized long-term ceiling and upside over market conservatism; CJ Abrams fit as a speed-impact bat; dynasty rank 46; market ADP 34.0; MLB-slot pressure required immediate production; roster construction needed this position fit.
31,4,1,Josh V,Jackson Holliday,hitter,SS,2B/SS,MLB,MLB,73,41.0,,,Josh V prioritized long-term ceiling and upside over market conservatism; Jackson Holliday fit as a ss contributor; dynasty rank 73; market ADP 41.0; MLB-slot pressure required immediate production; roster construction needed this position fit; position scarcity play at SS pushed the pick up.
50,5,10,Josh V,Jac Caglianone,hitter,1B,OF/1B,MLB,MLB,132,57.5,,,Josh V prioritized long-term ceiling and upside over market conservatism; Jac Caglianone fit as a 1b contributor; dynasty rank 132; market ADP 57.5; MLB-slot pressure required immediate production; roster construction needed this position fit; team OBP build needed reinforcement.
51,6,1,Josh V,Hunter Greene,pitcher,SP,SP,MLB,MLB,40,47.5,60-day IL,Status Change,Josh V prioritized long-term ceiling and upside over market conservatism; Hunter Greene fit as a sp contributor; dynasty rank 40; market ADP 47.5; MLB-slot pressure required immediate production.
70,7,10,Josh V,Ivan Herrera,hitter,C,DH/C,MLB,MLB,148,174.0,,,Josh V prioritized long-term ceiling and upside over market conservatism; Ivan Herrera fit as a c contributor; dynasty rank 148; market ADP 174.0; MLB-slot pressure required immediate production; roster construction needed this position fit; team OBP build needed reinforcement.
71,8,1,Josh V,Vinnie Pasquantino,hitter,1B,1B,MLB,MLB,82,83.5,,,Josh V prioritized long-term ceiling and upside over market conservatism; Vinnie Pasquantino fit as a 1b contributor; dynasty rank 82; market ADP 83.5; MLB-slot pressure required immediate production; roster construction needed this position fit; team OBP build needed reinforcement.
90,9,10,Josh V,MacKenzie Gore,pitcher,SP,SP,MLB,MLB,123,95.0,,Trade,Josh V prioritized long-term ceiling and upside over market conservatism; MacKenzie Gore fit as a sp contributor; dynasty rank 123; market ADP 95.0; MLB-slot pressure required immediate production.
91,10,1,Josh V,Michael Harris II,hitter,OF,OF,MLB,MLB,111,102.5,,,Josh V prioritized long-term ceiling and upside over market conservatism; Michael Harris II fit as a of contributor; dynasty rank 111; market ADP 102.5; MLB-slot pressure required immediate production; roster construction needed this position fit; team OBP build needed reinforcement.
110,11,10,Josh V,Jesus Luzardo,pitcher,SP,SP,MLB,MLB,94,117.0,,,Josh V prioritized long-term ceiling and upside over market conservatism; Jesus Luzardo fit as a sp contributor; dynasty rank 94; market ADP 117.0; MLB-slot pressure required immediate production.
111,12,1,Josh V,Steven Kwan,hitter,OF,OF,MLB,MLB,162,129.0,,,Josh V prioritized long-term ceiling and upside over market conservatism; Steven Kwan fit as a of contributor; dynasty rank 162; market ADP 129.0; MLB-slot pressure required immediate production; roster construction needed this position fit; team OBP build needed reinforcement.
130,13,10,Josh V,Cam Smith,hitter,OF,OF,MLB,MLB,189,136.0,,,Josh V prioritized long-term ceiling and upside over market conservatism; Cam Smith fit as a of contributor; dynasty rank 189; market ADP 136.0; MLB-slot pressure required immediate production; roster construction needed this position fit; team OBP build needed reinforcement.
131,14,1,Josh V,Noelvi Marte,hitter,3B,3B/OF,MLB,MLB,166,151.5,,,Josh V prioritized long-term ceiling and upside over market conservatism; Noelvi Marte fit as a 3b contributor; dynasty rank 166; market ADP 151.5; MLB-slot pressure required immediate production; roster construction needed this position fit; position scarcity play at 3B pushed the pick up; team OBP build needed reinforcement.
150,15,10,Josh V,Mickey Moniak,hitter,OF,OF,MLB,MLB,209,157.0,,,Josh V prioritized long-term ceiling and upside over market conservatism; Mickey Moniak fit as a of contributor; dynasty rank 209; market ADP 157.0; MLB-slot pressure required immediate production; roster construction needed this position fit; team OBP build needed reinforcement.
