pick_number,round,pick_in_round,team,player_name,player_type,position_bucket,eligible_positions,roster_bucket,current_level,dynasty_rank,adp,injury_status,transaction_status,rationale
5,1,5,Michael,Corbin Carroll,hitter,OF,OF,MLB,MLB,8,4.0,,,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Corbin Carroll fit as a speed-impact bat; dynasty rank 8; market ADP 4.0; MLB-slot pressure required immediate production; roster construction needed this position fit."
16,2,6,Michael,Nick Kurtz,hitter,1B,1B,MLB,MLB,16,11.5,,,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Nick Kurtz fit as a 1b contributor; dynasty rank 16; market ADP 11.5; MLB-slot pressure required immediate production; roster construction needed this position fit."
25,3,5,Michael,Roman Anthony,hitter,OF,OF,MLB,MLB,22,17.5,,,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Roman Anthony fit as a of contributor; dynasty rank 22; market ADP 17.5; MLB-slot pressure required immediate production; roster construction needed this position fit."
36,4,6,Michael,Jackson Merrill,hitter,OF,OF,MLB,MLB,43,35.0,,,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Jackson Merrill fit as a of contributor; dynasty rank 43; market ADP 35.0; MLB-slot pressure required immediate production; roster construction needed this position fit."
45,5,5,Michael,Eury Perez,pitcher,SP,SP,MLB,MLB,47,41.0,,,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Eury Perez fit as a sp contributor; dynasty rank 47; market ADP 41.0; MLB-slot pressure required immediate production."
56,6,6,Michael,Jacob Wilson,hitter,SS,SS,MLB,MLB,129,78.0,,,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Jacob Wilson fit as a ss contributor; dynasty rank 129; market ADP 78.0; MLB-slot pressure required immediate production; roster construction needed this position fit."
65,7,5,Michael,Agustin Ramirez,hitter,C,C,MLB,MLB,88,108.0,,,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Agustin Ramirez fit as a c contributor; dynasty rank 88; market ADP 108.0; MLB-slot pressure required immediate production; roster construction needed this position fit."
76,8,6,Michael,Jacob Misiorowski,pitcher,SP,SP,MLB,MLB,100,58.0,,,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Jacob Misiorowski fit as a sp contributor; dynasty rank 100; market ADP 58.0; MLB-slot pressure required immediate production."
85,9,5,Michael,Spencer Schwellenbach,pitcher,SP,SP,MLB,MLB,53,69.5,60-day IL,Status Change,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Spencer Schwellenbach fit as a sp contributor; dynasty rank 53; market ADP 69.5; MLB-slot pressure required immediate production."
96,10,6,Michael,Jo Adell,hitter,OF,OF,MLB,MLB,135,100.5,,,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Jo Adell fit as a of contributor; dynasty rank 135; market ADP 100.5; MLB-slot pressure required immediate production; roster construction needed this position fit."
105,11,5,Michael,Matt Shaw,hitter,3B,3B,MLB,MLB,116,111.0,,,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Matt Shaw fit as a 3b contributor; dynasty rank 116; market ADP 111.0; MLB-slot pressure required immediate production; roster construction needed this position fit; team OBP build needed reinforcement."
116,12,6,Michael,Munetaka Murakami,hitter,3B,3B,MLB,MLB,248,118.0,,,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Munetaka Murakami fit as a 3b contributor; dynasty rank 248; market ADP 118.0; MLB-slot pressure required immediate production; roster construction needed this position fit; position scarcity play at 3B pushed the pick up; team OBP build needed reinforcement."
125,13,5,Michael,Luke Keaschall,hitter,2B,2B,MLB,MLB,114,155.0,,,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Luke Keaschall fit as a speed-impact bat; dynasty rank 114; market ADP 155.0; MLB-slot pressure required immediate production; roster construction needed this position fit; team OBP build needed reinforcement."
136,14,6,Michael,Jakob Marsee,hitter,OF,OF,MLB,MLB,186,153.5,,,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Jakob Marsee fit as a speed-impact bat; dynasty rank 186; market ADP 153.5; MLB-slot pressure required immediate production; roster construction needed this position fit; team OBP build needed reinforcement."
145,15,5,Michael,Bryce Miller,pitcher,SP,SP,MLB,MLB,163,145.0,,,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Bryce Miller fit as a sp contributor; dynasty rank 163; market ADP 145.0; MLB-slot pressure required immediate production."
156,16,6,Michael,Cade Horton,pitcher,SP,SP,MLB,MLB,190,158.0,,,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Cade Horton fit as a sp contributor; dynasty rank 190; market ADP 158.0; MLB-slot pressure required immediate production."
165,17,5,Michael,Colson Montgomery,hitter,SS,SS/3B,MLB,MLB,185,180.0,,,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Colson Montgomery fit as a ss contributor; dynasty rank 185; market ADP 180.0; MLB-slot pressure required immediate production; roster construction needed this position fit; position scarcity play at 3B pushed the pick up; team OBP build needed reinforcement."
176,18,6,Michael,Tanner Bibee,pitcher,SP,SP,MLB,MLB,194,178.0,,,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Tanner Bibee fit as a sp contributor; dynasty rank 194; market ADP 178.0; MLB-slot pressure required immediate production."
185,19,5,Michael,Edward Cabrera,pitcher,SP,SP,MLB,MLB,175,194.0,,Trade,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Edward Cabrera fit as a sp contributor; dynasty rank 175; market ADP 194.0; MLB-slot pressure required immediate production."
196,20,6,Michael,Masyn Winn,hitter,SS,SS,MLB,MLB,226,201.0,,,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Masyn Winn fit as a ss contributor; dynasty rank 226; market ADP 201.0; MLB-slot pressure required immediate production; roster construction needed this position fit; team OBP build needed reinforcement."
205,21,5,Michael,Grayson Rodriguez,pitcher,SP,SP,MLB,MLB,176,179.0,15-day IL,Status Change,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Grayson Rodriguez fit as a sp contributor; dynasty rank 176; market ADP 179.0; MLB-slot pressure required immediate production."
216,22,6,Michael,Luis Gil,pitcher,SP,SP,MLB,MLB,305,221.0,,,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Luis Gil fit as a sp contributor; dynasty rank 305; market ADP 221.0; MLB-slot pressure required immediate production."
225,23,5,Michael,Kyle Manzardo,hitter,1B,1B,MLB,MLB,174,210.0,,,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Kyle Manzardo fit as a 1b contributor; dynasty rank 174; market ADP 210.0; MLB-slot pressure required immediate production; team OBP build needed reinforcement."
236,24,6,Michael,Kyle Teel,hitter,C,C,MLB,MLB,206,216.0,,,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Kyle Teel fit as a c contributor; dynasty rank 206; market ADP 216.0; MLB-slot pressure required immediate production; team OBP build needed reinforcement."
245,25,5,Michael,Ezequiel Tovar,hitter,SS,SS,MLB,MLB,223,222.0,,,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Ezequiel Tovar fit as a ss contributor; dynasty rank 223; market ADP 222.0; MLB-slot pressure required immediate production; team OBP build needed reinforcement."
256,26,6,Michael,Taj Bradley,pitcher,SP,SP,MLB,MLB,289,240.0,,,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Taj Bradley fit as a sp contributor; dynasty rank 289; market ADP 240.0; MLB-slot pressure required immediate production."
265,27,5,Michael,Jordan Beck,hitter,OF,OF,MLB,MLB,247,270.0,,,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Jordan Beck fit as a of contributor; dynasty rank 247; market ADP 270.0; MLB-slot pressure required immediate production; team OBP build needed reinforcement."
276,28,6,Michael,Jack Leiter,pitcher,SP,SP,MLB,MLB,252,262.0,,Number Change,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Jack Leiter fit as a sp contributor; dynasty rank 252; market ADP 262.0; MLB-slot pressure required immediate production."
285,29,5,Michael,Triston Casas,hitter,1B,1B,MLB,MLB,282,256.0,,,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Triston Casas fit as a 1b contributor; dynasty rank 282; market ADP 256.0; MLB-slot pressure required immediate production; team OBP build needed reinforcement."
296,30,6,Michael,Hurston Waldrep,pitcher,SP,SP,MLB,MLB,217,268.0,,,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Hurston Waldrep fit as a sp contributor; dynasty rank 217; market ADP 268.0; MLB-slot pressure required immediate production."
