pick_number,round,pick_in_round,team,player_name,player_type,position_bucket,eligible_positions,roster_bucket,current_level,dynasty_rank,adp,injury_status,transaction_status,rationale
8,1,8,Shane,Jose Ramirez,hitter,3B,3B,IL,MLB,13,13.6,,Status Change,"Shane prioritized clear jobs, volume paths, and role-change usability; Jose Ramirez fit as a speed-impact bat; dynasty rank 13; market ADP 13.6; roster construction needed this position fit."
13,2,3,Shane,Ronald Acuna Jr.,hitter,OF,OF,IL,MLB,3,7.7,,Status Change,"Shane prioritized clear jobs, volume paths, and role-change usability; Ronald Acuna Jr. fit as a OBP anchor bat; dynasty rank 3; market ADP 7.7; roster construction needed this position fit."
28,3,8,Shane,Garrett Crochet,pitcher,SP,SP,IL,MLB,11,20.5,15-day Injured List,Status Change,"Shane prioritized clear jobs, volume paths, and role-change usability; Garrett Crochet fit as a top-tier ace; dynasty rank 11; market ADP 20.5; despite an early pitching slot."
33,4,3,Shane,CJ Abrams,hitter,SS,SS,MLB,MLB,46,34.0,,,"Shane prioritized clear jobs, volume paths, and role-change usability; CJ Abrams fit as a speed-impact bat; dynasty rank 46; market ADP 34.0; roster construction needed this position fit."
48,5,8,Shane,Jarren Duran,hitter,OF,OF,MLB,MLB,76,51.0,,,"Shane prioritized clear jobs, volume paths, and role-change usability; Jarren Duran fit as a speed-impact bat; dynasty rank 76; market ADP 51.0; roster construction needed this position fit."
53,6,3,Shane,Austin Riley,hitter,3B,3B,MLB,MLB,61,50.5,,,"Shane prioritized clear jobs, volume paths, and role-change usability; Austin Riley fit as a 3b contributor; dynasty rank 61; market ADP 50.5; roster construction needed this position fit."
68,7,8,Shane,Ben Rice,hitter,C,C/1B,MLB,MLB,87,86.0,,,"Shane prioritized clear jobs, volume paths, and role-change usability; Ben Rice fit as a c contributor; dynasty rank 87; market ADP 86.0; roster construction needed this position fit; team OBP build needed reinforcement."
73,8,3,Shane,Eury Perez,pitcher,SP,SP,IL,MLB,47,41.0,,Status Change,"Shane prioritized clear jobs, volume paths, and role-change usability; Eury Perez fit as a sp contributor; dynasty rank 47; market ADP 41.0."
88,9,8,Shane,Vinnie Pasquantino,hitter,1B,1B,IL,MLB,83,83.5,10-day Injured List,Status Change,"Shane prioritized clear jobs, volume paths, and role-change usability; Vinnie Pasquantino fit as a 1b contributor; dynasty rank 83; market ADP 83.5; roster construction needed this position fit; team OBP build needed reinforcement."
93,10,3,Shane,Andres Munoz,pitcher,RP,RP,MLB,MLB,62,98.5,,,"Shane prioritized clear jobs, volume paths, and role-change usability; Andres Munoz fit as a late-inning reliever; dynasty rank 62; market ADP 98.5; team save totals needed attention."
108,11,8,Shane,Michael Harris II,hitter,OF,OF,MLB,MLB,112,102.5,,,"Shane prioritized clear jobs, volume paths, and role-change usability; Michael Harris II fit as a of contributor; dynasty rank 112; market ADP 102.5; roster construction needed this position fit; team OBP build needed reinforcement."
113,12,3,Shane,Ceddanne Rafaela,hitter,2B,2B/OF,MLB,MLB,128,110.5,,,"Shane prioritized clear jobs, volume paths, and role-change usability; Ceddanne Rafaela fit as a 2b contributor; dynasty rank 128; market ADP 110.5; roster construction needed this position fit; team OBP build needed reinforcement."
128,13,8,Shane,Michael King,pitcher,SP,SP,MLB,MLB,118,105.5,,,"Shane prioritized clear jobs, volume paths, and role-change usability; Michael King fit as a sp contributor; dynasty rank 118; market ADP 105.5."
133,14,3,Shane,Chandler Simpson,hitter,OF,OF,MLB,MLB,202,129.5,,,"Shane prioritized clear jobs, volume paths, and role-change usability; Chandler Simpson fit as a speed-impact bat; dynasty rank 202; market ADP 129.5; roster construction needed this position fit; team OBP build needed reinforcement."
148,15,8,Shane,Alec Burleson,hitter,1B,1B/OF,MLB,MLB,246,139.0,,,"Shane prioritized clear jobs, volume paths, and role-change usability; Alec Burleson fit as a 1b contributor; dynasty rank 246; market ADP 139.0; roster construction needed this position fit; team OBP build needed reinforcement."
153,16,3,Shane,Shane McClanahan,pitcher,SP,SP,MLB,MLB,250,114.0,15-day Injured List,Status Change,"Shane prioritized clear jobs, volume paths, and role-change usability; Shane McClanahan fit as a sp contributor; dynasty rank 250; market ADP 114.0."
168,17,8,Shane,Matt McLain,hitter,2B,2B,MLB,MLB,237,161.0,,Status Change,"Shane prioritized clear jobs, volume paths, and role-change usability; Matt McLain fit as a 2b contributor; dynasty rank 237; market ADP 161.0; roster construction needed this position fit; team OBP build needed reinforcement."
173,18,3,Shane,Brenton Doyle,hitter,OF,OF,MLB,MLB,218,141.0,,Status Change,"Shane prioritized clear jobs, volume paths, and role-change usability; Brenton Doyle fit as a of contributor; dynasty rank 218; market ADP 141.0; roster construction needed this position fit; team OBP build needed reinforcement."
188,19,8,Shane,Shane Baz,pitcher,SP,SP,MLB,MLB,162,168.0,,,"Shane prioritized clear jobs, volume paths, and role-change usability; Shane Baz fit as a sp contributor; dynasty rank 162; market ADP 168.0."
193,20,3,Shane,Andrew Abbott,pitcher,SP,SP,MLB,MLB,231,171.0,,,"Shane prioritized clear jobs, volume paths, and role-change usability; Andrew Abbott fit as a sp contributor; dynasty rank 231; market ADP 171.0."
208,21,8,Shane,Travis Sykora,pitcher,RP,P/PITCHER,Minors,AA,322,195.0,,,"Shane prioritized clear jobs, volume paths, and role-change usability; Travis Sykora fit as a late-inning reliever; dynasty rank 322; market ADP 195.0; as a minor-league stash; upper-minors proximity matched the manager's draft comfort zone; upper-minors proximity improved the stash appeal."
213,22,3,Shane,Ryan Waldschmidt,hitter,OF,OF/OUTFIELDER,Minors,MLB,262,202.0,,Recalled,"Shane prioritized clear jobs, volume paths, and role-change usability; Ryan Waldschmidt fit as a of contributor; dynasty rank 262; market ADP 202.0; as a minor-league stash; upper-minors proximity matched the manager's draft comfort zone; upper-minors proximity improved the stash appeal."
228,23,8,Shane,Nick Pivetta,pitcher,SP,SP,MLB,MLB,122,220.0,15-day Injured List,Status Change,"Shane prioritized clear jobs, volume paths, and role-change usability; Nick Pivetta fit as a sp contributor; dynasty rank 122; market ADP 220.0."
248,25,8,Shane,Josue Briceno,hitter,C,C/CATCHER,Minors,AA,226,252.0,60-day Injured List,Status Change,"Shane prioritized clear jobs, volume paths, and role-change usability; Josue Briceno fit as a c contributor; dynasty rank 226; market ADP 252.0; as a minor-league stash; upper-minors proximity matched the manager's draft comfort zone; upper-minors proximity improved the stash appeal."
253,26,3,Shane,Liam Doyle,pitcher,RP,P/PITCHER,Minors,AA,329,250.0,,,"Shane prioritized clear jobs, volume paths, and role-change usability; Liam Doyle fit as a late-inning reliever; dynasty rank 329; market ADP 250.0; as a minor-league stash; upper-minors proximity matched the manager's draft comfort zone; upper-minors proximity improved the stash appeal."
268,27,8,Shane,Daniel Palencia,pitcher,RP,RP,MLB,MLB,295,231.0,15-day Injured List,Status Change,"Shane prioritized clear jobs, volume paths, and role-change usability; Daniel Palencia fit as a late-inning reliever; dynasty rank 295; market ADP 231.0; team save totals needed attention."
273,28,3,Shane,Brandon Sproat,pitcher,SP,SP/P/PITCHER,Minors,MLB,394,275.0,,Trade,"Shane prioritized clear jobs, volume paths, and role-change usability; Brandon Sproat fit as a sp contributor; dynasty rank 394; market ADP 275.0; as a minor-league stash; closer-to-MLB proximity still fit the manager's prospect plan; upper-minors proximity improved the stash appeal."
288,29,8,Shane,Rhett Lowder,pitcher,SP,SP/P/PITCHER,Minors,MLB,449,298.0,,Status Change,"Shane prioritized clear jobs, volume paths, and role-change usability; Rhett Lowder fit as a sp contributor; dynasty rank 449; market ADP 298.0; as a minor-league stash; closer-to-MLB proximity still fit the manager's prospect plan; upper-minors proximity improved the stash appeal."
293,30,3,Shane,Arjun Nimmala,hitter,SS,SS/INFIELDER,Minors,MLB,362,277.0,,Status Change,"Shane prioritized clear jobs, volume paths, and role-change usability; Arjun Nimmala fit as a ss contributor; dynasty rank 362; market ADP 277.0; as a minor-league stash; the prospect was deeper in the minors than this manager usually prefers."
308,31,8,Shane,Ryan O’Hearn,hitter,1B,1B/OF,MLB,MLB,496,261.0,10-day Injured List,Status Change,"Shane prioritized clear jobs, volume paths, and role-change usability; Ryan O’Hearn fit as a 1b contributor; dynasty rank 496; market ADP 261.0; team OBP build needed reinforcement."
313,32,3,Shane,Brendan Donovan,hitter,2B,2B/OF,MLB,MLB,271,271.0,10-day Injured List,Status Change,"Shane prioritized clear jobs, volume paths, and role-change usability; Brendan Donovan fit as a 2b contributor; dynasty rank 271; market ADP 271.0; team OBP build needed reinforcement."
